Item,answer,AnswerKey,confidence,correct,dataID,Description,category
"Moss forms around rocks in order to stop soil erosion.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"teleo_misconception_7","teleo_misconception"
"Mutations in germs came about so they could become more resistant to drugs.",TRUE,FALSE,3,0,session-6849e54cd5792.csv,"teleo_misconception_6","teleo_misconception"
"Not all traits in a species are adaptive or beneficial for survival.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_49","control"
"Objects can weigh less at the equator than at the poles of the earth.",TRUE,TRUE,2,1,session-6849e54cd5792.csv,"control_17","control"
"Of all species, humans are in the best position for surviving in a changing climate.",FALSE,FALSE,3,1,session-6849e54cd5792.csv,"anthro_misconception_16","anthro_misconception"
"Only humans and animals have DNA; plants and mushrooms do not have DNA.",FALSE,FALSE,4,1,session-6849e54cd5792.csv,"anthro_misconception_3","anthro_misconception"
"Organisms have genes so they can produce all the molecules they need.",FALSE,FALSE,3,1,session-6849e54cd5792.csv,"teleo_misconception_24","teleo_misconception"
"Particles can exist in multiple states simultaneously.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_22","control"
"Particles collide in order to produce chemical reactions.",TRUE,FALSE,3,0,session-6849e54cd5792.csv,"teleo_misconception_14","teleo_misconception"
"People can do things differently, but the important parts of who they are cannot really be changed.",FALSE,FALSE,4,1,session-6849e54cd5792.csv,"ess_misconception_21","ess_misconception"
"People who do not share visible traits cannot be genetically similar.",FALSE,FALSE,3,1,session-6849e54cd5792.csv,"ess_misconception_17","ess_misconception"
"Phases of the moon are caused by changes in illumination",FALSE,TRUE,4,0,session-6849e54cd5792.csv,"control_15","control"
"Photosynthesis involves both light dependent and light-independent chemical reactions.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_38","control"
"Planets are more massive than their moons.",TRUE,TRUE,2,1,session-6849e54cd5792.csv,"control_12","control"
"Plants and animals cannot share a common ancestor.",TRUE,FALSE,4,0,session-6849e54cd5792.csv,"ess_misconception_2","ess_misconception"
"Plants are able to communicate with one another and send signals to respond and fight off potential predators",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_23","control"
"Plants perform photosynthesis but not cellular respiration; animals perform cellular respiration but not photosynthesis.",TRUE,FALSE,3,0,session-6849e54cd5792.csv,"ess_misconception_1","ess_misconception"
"Rain falls so that plants can grow.",FALSE,FALSE,3,1,session-6849e54cd5792.csv,"teleo_misconception_26","teleo_misconception"
"Red objects reflect red light.",FALSE,TRUE,2,0,session-6849e54cd5792.csv,"control_46","control"
"Regulation of an organism's internal environment involves sensing the internal environment and changing physiological activities to keep conditions within the range required to survive.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_68","control"
"Rivers flow continuously over rocks in order to break them down into sand.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"teleo_misconception_29","teleo_misconception"
"Rocks are composed of minerals.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_26","control"
"Sea turtles determine their location for migration by sensing the earths magnetic fields.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_5","control"
"Sound travels faster through solids than through liquids or gases.",FALSE,TRUE,4,0,session-6849e54cd5792.csv,"control_62","control"
"Species can change during evolution, but some characteristics will always remain the same.",TRUE,FALSE,4,0,session-6849e54cd5792.csv,"ess_misconception_16","ess_misconception"
"Steel is denser than foam.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_28","control"
"The air in the atmosphere is mostly made up of nitrogen.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_52","control"
"The behavior of individual organisms is influenced by internal cues (such as hunger) and by external cues (such as a change in the environment).",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_57","control"
"The cells in a human are more complex than the cells in a plant.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"anthro_misconception_14","anthro_misconception"
"The characteristics of an organism can be described in terms of a combination of traits. Some traits are inherited and others result from interactions with the environment.",FALSE,TRUE,2,0,session-6849e54cd5792.csv,"control_67","control"
"The Earth's atmosphere scatters shorter-wavelength light more than longer-wavelength light which is why the sky appears blue during the day.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_13","control"
"The Earth is closer to the Sun during the winter in the Northern Hemisphere.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_63","control"
"The fittest animals survive so that species can grow stronger.",TRUE,FALSE,4,0,session-6849e54cd5792.csv,"teleo_misconception_10","teleo_misconception"
"The gravitational pull of a black hole is so strong that it prevents anything from escaping once they have passed beyond the event horizon.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_41","control"
"The heart decides how much blood is needed throughout the body and adjusts the rate at which it beats accordingly.",TRUE,FALSE,3,0,session-6849e54cd5792.csv,"anthro_misconception_6","anthro_misconception"
"The lungs increase their size to make room for more air.",TRUE,FALSE,2,0,session-6849e54cd5792.csv,"teleo_misconception_21","teleo_misconception"
"The Moon is gradually moving away from the Earth due to tidal forces.",FALSE,TRUE,2,0,session-6849e54cd5792.csv,"control_66","control"
"The moon revolves around the earth.",FALSE,TRUE,3,0,session-6849e54cd5792.csv,"control_14","control"
"The plasticity of neural connections is undergirded by the processes of long-term potentiation (LTP) and long-term depression (LTD).",TRUE,TRUE,2,1,session-6849e54cd5792.csv,"control_40","control"
"The shape of germs is very specific to their function.",FALSE,TRUE,2,0,session-6849e54cd5792.csv,"control_25","control"
"The sun makes light so that plants can photosynthesize.",TRUE,FALSE,3,0,session-6849e54cd5792.csv,"teleo_misconception_9","teleo_misconception"
"The universe is expanding at a faster rate than it was 100 years ago.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_21","control"
"The uterus builds itself up during pregnancy so that it can support and nourish the fetus.",TRUE,FALSE,2,0,session-6849e54cd5792.csv,"teleo_misconception_20","teleo_misconception"
"The wings on a bird developed so that birds would be able to fly.",FALSE,FALSE,4,1,session-6849e54cd5792.csv,"teleo_misconception_22","teleo_misconception"
"The world has many different environments, and distinct environments support the life of different types of organisms.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_55","control"
"There are clear cut biological boundaries between different racial groups.",FALSE,FALSE,3,1,session-6849e54cd5792.csv,"ess_misconception_24","ess_misconception"
"There are numbers between 1 and 3.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_54","control"
"Throughout Earth's history, most changes in ecosystems have been caused by humans.",TRUE,FALSE,4,0,session-6849e54cd5792.csv,"anthro_misconception_11","anthro_misconception"
"Time will appear to pass more slowly for an individual when they're in motion compared to when they are stationary.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_29","control"
"Trees produce oxygen so that animals can breathe.",FALSE,FALSE,4,1,session-6849e54cd5792.csv,"teleo_misconception_2","teleo_misconception"
"Two brown-eyed parents could have a brown-eyed baby.",TRUE,TRUE,4,1,session-6849e54cd5792.csv,"control_18","control"
"Unlike other species, humans have unique relationships with other animals.",TRUE,FALSE,2,0,session-6849e54cd5792.csv,"anthro_misconception_18","anthro_misconception"
"Viruses cannot change one's genes.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"ess_misconception_3","ess_misconception"
"Water transfers heat to ice.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_43","control"
"What humans do is more important than what all other living things do.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"anthro_misconception_22","anthro_misconception"
"When two particles become entangled, measuring one particle instantaneously determines the state of the other, regardless of the distance separating them.",TRUE,TRUE,3,1,session-6849e54cd5792.csv,"control_70","control"
"Without outside influences, ecological communities will remain stable indefinitely.",FALSE,FALSE,2,1,session-6849e54cd5792.csv,"ess_misconception_9","ess_misconception"
